Season,twaDeltaB,twaPrice,l2sr,podRate,maxNegativeTwaDeltaB,isNewMaxTwaDeltaB,Capacity_at_Smin_100,Capacity_at_Smin_200,Capacity_at_Smin_300,Capacity_at_Smin_400,Capacity_at_Smin_500,Capacity_at_Smin_600,Capacity_at_Smin_700,Capacity_at_Smin_800,Capacity_at_Smin_900,Capacity_at_Smin_1000
63,-187.266,0.997,0.702,0.0,-187.266,True,1.873,0.936,0.624,0.468,0.375,0.312,0.268,0.234,0.208,0.187
64,-174.578,0.997,0.7,0.001,-187.266,False,1.873,0.936,0.624,0.468,0.375,0.312,0.268,0.234,0.208,0.187
65,2942.957,1.0,0.702,0.006,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,11387.062,1.006,0.707,0.009,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,4799.302,1.001,0.706,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,4.528,0.999,0.703,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,5856.376,1.003,0.708,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,3659.57,1.002,0.709,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,17533.526,1.009,0.719,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,2706.392,1.001,0.71,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,19682.035,1.007,0.718,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,14195.43,1.006,0.717,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,19620.493,1.01,0.721,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,17855.418,1.009,0.721,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,13832.036,1.006,0.72,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,21804.86,1.011,0.725,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
79,10100.235,1.004,0.719,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
80,8120.758,1.005,0.726,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
81,9780.648,1.004,0.736,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
82,26475.493,1.013,0.746,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,19916.735,1.009,0.743,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,15028.131,1.006,0.738,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,13500.344,1.005,0.737,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,8351.375,1.003,0.736,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,11667.388,1.004,0.739,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
88,12314.674,1.005,0.741,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,10139.211,1.004,0.741,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,16274.812,1.006,0.745,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,14443.485,1.006,0.746,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,5199.368,1.002,0.754,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,7842.275,1.002,0.756,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,9490.14,1.003,0.76,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,27507.977,1.01,0.78,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,5113.636,1.001,0.768,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,3195.688,1.0,0.766,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
98,6122.231,1.003,0.767,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
99,2230.284,1.001,0.765,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,7988.236,1.004,0.768,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,-250.659,1.0,0.765,0.0,-250.659,True,2.507,1.253,0.836,0.627,0.501,0.418,0.358,0.313,0.279,0.251
102,-3444.288,0.999,0.767,0.006,-3444.288,True,34.443,17.221,11.481,8.611,6.889,5.74,4.92,4.305,3.827,3.444
103,-2320.547,1.0,0.767,0.086,-3444.288,False,34.443,17.221,11.481,8.611,6.889,5.74,4.92,4.305,3.827,3.444
104,368.7,1.001,0.769,0.14,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,4526.865,1.003,0.773,0.142,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,917.57,1.0,0.772,0.051,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,-2887.162,0.997,0.77,0.0,-2887.162,True,28.872,14.436,9.624,7.218,5.774,4.812,4.125,3.609,3.208,2.887
